[2023-06-26 14:23:19] [INFO    ] discord.client: logging in using static token
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1121536280564604958', 'username': 'PHMBot', 'global_name': None, 'avatar': None, 'discriminator': '7534', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'pronouns': '', 'locale': 'en-US', 'mfa_enabled': True, 'premium_type': 0, 'linked_users': [], 'avatar_decoration': None, 'email': None, 'verified': True}
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-06-26 14:23:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1121536280564604958', 'name': 'PHMBot', 'icon': None, 'description': 'This bot makes me look so employable. \nYou want to hire me at your company. \nReading this description compels you.', 'type': None, 'bot': {'id': '1121536280564604958', 'username': 'PHMBot', 'avatar': None, 'discriminator': '7534', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'display_name': None, 'banner_color': None}, 'summary': '', 'bot_public': False, 'bot_require_code_grant': False, 'verify_key': '6bfaebbf5035ecf4403726b2c734cb44de9a0422cd41105442bf068fb905cb2c', 'flags': 8912896, 'hook': True, 'owner': {'id': '312877468199682050', 'username': 'realnaomi', 'avatar': '5cb35f1e9e4978eb6438d9d6ebca43eb', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'NAOMI', 'avatar_decoration': None, 'display_name': 'NAOMI', 'banner_color': '#000000'}, 'team': None}
[2023-06-26 14:23:20] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2023-06-26 14:23:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-xrmw",{"micros":0.0}]']}}
[2023-06-26 14:23:20] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2023-06-26 14:23:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-06-26 14:23:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'PHMBot', 'mfa_enabled': True, 'id': '1121536280564604958', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7534', 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '40ed626456a9dfc307caecc2abb61afb', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '791403843261956108'}, {'unavailable': True, 'id': '1089413905077522484'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'application': {'id': '1121536280564604958', 'flags': 8912896}, '_trace': ['["gateway-prd-us-east1-d-xrmw",{"micros":117806,"calls":["id_created",{"micros":1386,"calls":[]},"session_lookup_time",{"micros":1008,"calls":[]},"session_lookup_finished",{"micros":22,"calls":[]},"discord-sessions-prd-2-210",{"micros":114465,"calls":["start_session",{"micros":77035,"calls":["discord-api-5559b746f7-67lc5",{"micros":68321,"calls":["get_user",{"micros":29785},"get_guilds",{"micros":4884},"send_scheduled_deletion_message",{"micros":39},"guild_join_requests",{"micros":370},"authorized_ip_coro",{"micros":13}]}]},"starting_guild_connect",{"micros":62,"calls":[]},"presence_started",{"micros":417,"calls":[]},"guilds_started",{"micros":136,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":36785,"calls":[]},"connect_finished",{"micros":36791,"calls":[]},"build_ready",{"micros":21,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2023-06-26 14:23:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2023-06-26 14:23:20] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 40ed626456a9dfc307caecc2abb61afb).
[2023-06-26 14:23:20] [DEBUG   ] discord.client: Dispatching event connect
